id,location,latitude,longitude
215768.0,New Jersey,40.71438,-74.0581
254245.0,New Jersey,40.71162,-74.06179
269266.0,New Jersey,40.71135,-74.06374
675483.0,New Jersey,40.72315,-74.04179
810860.0,New Jersey,40.72617,-74.06481
818075.0,New Jersey,40.74086,-74.04921
938292.0,New Jersey,40.72371,-74.04931
946048.0,New Jersey,40.72398,-74.05023
971427.0,New Jersey,40.71839,-74.04522
1897139.0,New Jersey,40.724545,-74.03591
1897262.0,New Jersey,40.724545,-74.03591
2149271.0,New Jersey,40.72508,-74.0512
2168009.0,New Jersey,40.74822,-74.04853
2176306.0,New Jersey,40.72146,-74.07424
2243687.0,New Jersey,40.724545,-74.03591
2243736.0,New Jersey,40.724545,-74.03591
2662979.0,New Jersey,40.72469,-74.0497
2879634.0,New Jersey,40.71159,-74.06034
3193538.0,New Jersey,40.71549,-74.03976
3487433.0,New Jersey,40.71653,-74.039
4007369.0,New Jersey,40.71624,-74.07984
4384868.0,New Jersey,40.724545,-74.03591
4531787.0,New Jersey,40.72277,-74.04957
4582869.0,New Jersey,40.72459,-74.04352
5192752.0,New Jersey,40.724545,-74.03591
5193707.0,New Jersey,40.72455,-74.03591
5697589.0,New Jersey,40.72216,-74.05052
5758802.0,New Jersey,40.72368,-74.04911
5772382.0,New Jersey,40.7223,-74.05005
5851973.0,New Jersey,40.73585,-74.05436
5989369.0,New Jersey,40.69823,-74.10447
7010668.0,New Jersey,40.73346,-74.0686
7114929.0,New Jersey,40.74466,-74.0481
7768246.0,New Jersey,40.7127,-74.05768
8703242.0,New Jersey,40.71514,-74.06436
8916273.0,New Jersey,40.72051,-74.04771
9170657.0,New Jersey,40.71912,-74.08723
9329465.0,New Jersey,40.72879,-74.05741
9433856.0,New Jersey,40.72239,-74.07806
9531923.0,New Jersey,40.74973,-74.05154
9594147.0,New Jersey,40.72372055,-74.06548309
10263992.0,New Jersey,40.72501,-74.03612
10264196.0,New Jersey,40.72371,-74.03699
10264615.0,New Jersey,40.724545,-74.03591
10264857.0,New Jersey,40.724545,-74.03591
10267085.0,New Jersey,40.724545,-74.03591
10280611.0,New Jersey,40.724545,-74.03591
10292961.0,New Jersey,40.72479,-74.04775
10360336.0,New Jersey,40.724545,-74.03591
10361564.0,New Jersey,40.724545,-74.03591
10362044.0,New Jersey,40.724545,-74.03591
10377069.0,New Jersey,40.724545,-74.03591
10379027.0,New Jersey,40.724545,-74.03591
10382107.0,New Jersey,40.724545,-74.03591
10383764.0,New Jersey,40.724545,-74.03591
10384214.0,New Jersey,40.724545,-74.03591
10384889.0,New Jersey,40.724545,-74.03591
10385587.0,New Jersey,40.724545,-74.03591
10385819.0,New Jersey,40.724545,-74.03591
10429121.0,New Jersey,40.724545,-74.03591
10430238.0,New Jersey,40.724545,-74.03591
10753012.0,New Jersey,40.71884,-74.04698
10989968.0,New Jersey,40.724545,-74.03591
